SKU Code,SKU NAME,Pack Size,Quantity
MWBWHFP.00575.B0_N,BB Hair Growth Serum Roll on -25ml,25ML,110000
MWBWHFP.00672.B0_N,BB Hair Growth Serum Roll on- 50ml,50ML,20000
MWBWHFP.00541.B0_N,BB Hair Growth Serum- 50ml,50ML,3000
MWMMBDP.0132.AAAA.B0_R,BeardGro Serum- 30ml,30ML,13000
MWBWHFP.00637.B0_N,BB Hair Growth Serum- 10ml,10ML,15000
MWMMHRP.6298.AAAA.B0_N,MM Advanced Hair Serum-30ml,30ML,20000
MWBWSKP.00771.B0_N,BB Anti-stretch mark Roll On- 50ML,50ML,4500
MWMMHTP.0001.AAAA.B0_N,MM Swash Intimate Wash- 120ML,120ML,3000
MWBWHFP.00188.BO_N,Foli Advance+ Hair Growth Serum-25ml,25ML,10000
MWBWSKP.00587.B0_N,BB Brow & Lash Growth Serum- 5ml,5ML,2000
,,,
Raw Materials,,,
Ingredient,Mosaic RM Code,Kg Required,
Purified Water,RMPC0320,3109.615,
Zemea,RMPC0415,628,
Butylene Glycol,RMPC0042,558.5,
Propylene Glycol,RMPC0319,529,
Redensyl,RMPC0325,147.3,
Rosemary Extract,RMPC0336,144,
Fenugreek Extract,RMPC0136,130.8,
Anagain,RMPC0012,119,
Diaminopyrimidine Oxide (Aminexil),RMPC0110,99.9,
Procapil,RMPC0317,61,
Euxyl PE 9010,RMPC0135,49,
Red Clover Extract,RMPC0324,43.39,
Glycerin,RMPC0165,27.47,
D-Panthenol,RMPC0105,26.345,
Saw Palmetto Extract,RMPC0341,19.55,
Baicapil,RMPC0023,16.3,
Rewopol SB FA 30 B,RMPC0330,16.2,
Moringa Extract,RMPC0256,15.09,
Alfodet XL 46,RMPC0003,14.4,
Cocamidopropyl Betaine-Sprivil,RMPC0079,14.4,
Mirasil CM5,RMPC0253,6.75,
Xanthan Gum,RMNT0035,6.602,
Microcare PEHG,RMPC0243,6.16,
Resiluxe SFB 980,RMPC0327,4.5,
Arlacel 165,RMPC0019,4.5,
Aloe Vera Extract,RMPC0007,4.41,
EDTA,RMPC0122,4.3,
FR 3666 - Jadour,RMPC0142,3.74,
Genecare OSMS BA,RMPC0157,3.6,
FM 1200,RMPC0141,3.6,
Fragrance Sprivil,RMPC0148,2.88,
Olivem 300,RMPC0273,2.52,
Centella Asiatica Extract,RMPC0057,2.5,
"Keratin Protein, Hydrolyzed",RMPC0208,2.5,
Korean Black Rice Extract,RMPC0213,2.5,
RH40,RMPC0331,2.5,
STRIOVER™ (Lipotrue Principle),,2.25,
SymOcide® BHO,,2.25,
Centella Asiatica (Gotu Kola) Extract,RMPC0056,2.25,
Dimethicone 350,RMPC0113,2.25,
GMS SE,RMPC0174,2.25,
Liquorice Extract,RMPC0230,2.25,
Isopropyl Myristate (IPM),RMPC0202,2.25,
Regeneryl,RMPC0326,2.25,
GLOShine B3TM (Special Grade low nicotine level),RMPC0162,2.25,
Olive Squalane,RMPC0271,2.25,
Citric Acid,RMFL0010,2.25,
Arnica Extract,RMPC0020,1.8,
Chamomile Extract,RMPC0069,1.8,
Pine Extract,RMPC0302,1.8,
Bergamot and Mandron (Arav),RMPC0030,1.575,
Hydrolyzed Sponge,RMPC0192,1.5,
Copper Tripeptide-1,RMPC0099,1.25,
Menthyl Lactate,RMPC0239,1.25,
Liposomal Caffeine herbasome,RMPC0229,1.25,
Allantoin,RMPC0004,1.125,
Argan Oil,RMPC0017,1.125,
Bakuchiol,RMPC0024,1.125,
Shea Butter,RMPC0345,1.125,
Cetostearyl alcohol,RMPC0061,1.125,
Rosehip oil Pure Vigin Special Grade,RMPC0335,1.125,
Vitamin E Acetate,RMPC0405,1.125,
Sage Extract,RMPC0337,1.08,
Sepimax Zen,RMPC0343,0.75,
Ethylenediaminetetraacetic Acid,RMPC0131,0.6,
Fragrance- FR 3666 - Jadour,RMPC0149,0.48,
Hydrolyzed Collagen,RMPC0190,0.45,
Lecitouch,RMPC0224,0.45,
Hydroxyethyl cellulose,RMPC0193,0.4,
Aqua cool perfume,RMPC0014,0.39,
Sodium Gluconate,RMPC0356,0.39,
Gokshura Extract,RMPC0175,0.39,
Brilliant Blue,RMPC0038,0.36,
Pea Green,RMPC0274,0.36,
Prolicell Malva (Malva Exosomes) (Malva sylvestris - similar from the Rose family),RMPC0318,0.25,
Herbogen PDRN Aloevera (100ppm),RMPC0184,0.25,
Stearic Acid,RMPC0368,0.225,
LashLD,RMPC0221,0.2,
Disodium EDTA,RMPC0116,0.149,
HA 1-1.2MD Exisiting,RMPC0180,0.113,
Green apple Color,RMPC0178,0.048,
Tea Tree Oil,RMPC0380,0.036,
,,,
Packaging Materials,,,
Packaging Material,PM Code,Units Required,
BW_Tamper Proof Sticker,PBWSTK011000052,174500,
CO_PP Bottle_30 ml,PCOBOT013000331,120000,
CO_PP Screw Cap,PCOCAP008000346,120000,
CO_Plug With Metal Ball,PCOPLG023000366,120000,
BW_Hair Growth Serum Roll on - 25 ml_Body Label,PBWLBL005000480,110000,
BW_Hair Growth Serum Roll on - 25 ml_Monocarton,PBWMCT004000481,110000,
CO_Glass Amber Bottle_30 ml,PCOBOT013000330,33000,
CO_Dropper Set,PCODRP022000306,33000,
MM_Tamper Proof Sticker,PMMSTK011000067,33000,
CO_PP Bottle_50 ml,PCOBOT013000387,20000,
CO_PP Screw Cap,PCOCAP008000388,20000,
BW_Hair Growth Serum Roll - on 50 ML_Body Label,PBWLBL005000490,20000,
BW_Hair Growth Serum Roll - on 50 ML_Monocarton,PBWMCT004000491,20000,
CO_Plug With Metal Ball,PCOPLG023000389,20000,
MM_Advanced Hair Serum - 30 ml_Body Label,PMMLBL005000638,20000,
CO_Wiper Plug,PCOPLG023000871,20000,
MM_Advanced Hair Serum - 30 ml_Monocarton,PMMMCT004000639,20000,
CO_Wiper Plug,PCOPLG023000369,16000,
CO_Transparent Glass Bottle_10 ml,PCOBOT013000384,15000,
CO_PP Screw Cap,PCOCAP008000385,15000,
BW_Hair Growth Serum - 10 ml_Body Label,PBWLBL005000487,15000,
BW_Hair Growth Serum - 10 ml_Monocarton,PBWMCT004000488,15000,
CO_Plug With Metal Ball,PCOPLG023000386,15000,
MM_BeardGro Serum - 30 ml_Body Label,PMMLBL005000613,13000,
MM_BeardGro Serum - 30 ml_Monocarton,PMMMCT004000614,13000,
BW_Folli Advanced+ Hair Growth Serum Roll On_Body Label,PBWLBL005000193,10000,
BW_Folli Advanced+ Hair Growth Serum Roll On_Monocarton,PBWMCT004000195,10000,
BB Folli Advance+Hair Growth Serum Roll On- 25ml_Tube,PBWTUB024000828,10000,
BB Folli Advance+Hair Growth Serum Roll On- 25ml_Monocarton,PBWMCT004000829,10000,
CO_Plastic Ball,PCOBAL028000367,4500,
CO_HDPE Bottle_50 ml,PCOBOT013000323,4500,
CO_PP Screw Cap,PCOCAP008000354,4500,
BW_Anti-stretch mark Roll-On 50 ml _Body Label,PBWLBL005000729,4500,
BW_Anti-stretch mark Roll-On 50 ml _Monocarton,PBWMCT004000728,4500,
CO_Glass Amber Bottle_50 ml,PCOBOT013000333,3000,
CO_Dropper Set,PCODRP022000304,3000,
CO_3Ply inner Sleeve,PCOINS018000368,3000,
BW_Hair Growth Serum - 50 ml_Body Label,PBWLBL005000476,3000,
BW_Hair Growth Serum - 50 ml_Monocarton,PBWMCT004000477,3000,
CO_PET Bottle_120 ml,PCOBOT013000326,3000,
MM_Swash Intimate Wash - 120 ml_Body Label,PMMLBL005000651,3000,
CO_White Foaming Pump With Over Cap,PCOPMP019000336,3000,
CO_PVC Sleeve,PCOSLV010000359,3000,
CO_Brow & Lash Growth Serum - 5 ml_PP Printed Bottle_5 ml,PBWBOT013000527,2000,
CO_PP Screw Cap,PCOCAP008000408,2000,
BW_Brow & Lash Growth Serum - 5 ml_Bottom Label,PBWLBL005000528,2000,
BW_Brow & Lash Growth Serum - 5 ml_Monocarton,PBWMCT004000529,2000,
